hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,85,2015,November,45,7,1,1,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37,NULL,60,Transient,111,0,0,Canceled,2015-10-13
Resort Hotel,0,2,2015,August,34,19,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,NULL,0,Transient,137.7,1,1,Check-Out,2015-08-20
City Hotel,1,61,2017,April,15,14,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,141,0,0,Canceled,2017-02-15
City Hotel,0,19,2016,February,7,13,2,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,7,NULL,0,Transient,66.57,0,1,Check-Out,2016-02-16
City Hotel,0,267,2016,September,39,19,2,5,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,73.37,0,1,Check-Out,2016-09-26
City Hotel,0,6,2016,February,8,18,2,3,2,0,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,14,NULL,0,Transient,107,0,2,Check-Out,2016-02-23
Resort Hotel,0,6,2016,January,3,10,2,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,52.8,0,1,Check-Out,2016-01-16
City Hotel,1,314,2015,August,35,27,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Contract,62,0,0,Canceled,2015-01-01
City Hotel,1,52,2017,February,8,21,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,70.2,0,0,Canceled,2017-01-01
City Hotel,0,60,2015,September,39,21,1,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20,NULL,0,Transient-Party,65,0,0,Check-Out,2015-09-23
City Hotel,1,195,2016,August,32,3,0,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99.95,0,0,Canceled,2016-01-21
Resort Hotel,0,162,2016,October,41,4,0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,242,NULL,0,Transient,14,1,1,Check-Out,2016-10-06
City Hotel,0,92,2016,December,52,22,2,3,2,0,0,BB,GRC,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,96.9,0,1,Check-Out,2016-12-27
Resort Hotel,1,244,2015,September,36,2,2,5,2,0,0,BB,IRL,Groups,TA/TO,0,1,0,A,A,0,No Deposit,96,NULL,0,Transient-Party,8,0,0,Canceled,2015-08-01
Resort Hotel,0,180,2016,July,28,9,4,6,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,124.22,0,1,Check-Out,2016-07-19
City Hotel,1,304,2016,November,45,3,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21,NULL,0,Transient,89,0,0,Canceled,2016-02-01
City Hotel,1,44,2017,April,16,20,1,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,85,0,0,Canceled,2017-03-21
City Hotel,1,69,2016,June,25,12,2,4,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236,NULL,0,Transient,120,0,0,Canceled,2016-05-04
Resort Hotel,0,1,2016,January,5,24,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,2,No Deposit,240,NULL,0,Transient,40,0,0,Check-Out,2016-01-28
Resort Hotel,0,112,2017,June,26,28,0,4,2,1,0,BB,CN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,NULL,0,Transient,180,1,1,Check-Out,2017-07-02
City Hotel,0,40,2016,July,29,15,1,2,3,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,174.3,0,1,Check-Out,2016-07-18
City Hotel,1,318,2015,August,36,31,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Contract,62,0,0,Canceled,2015-01-01
Resort Hotel,1,18,2016,April,18,25,1,3,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,85,0,0,Canceled,2016-04-13
City Hotel,1,66,2017,April,16,16,1,0,2,0,0,BB,CYP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,126,0,0,Canceled,2017-02-13
City Hotel,0,298,2016,May,20,10,0,2,2,0,0,BB,NZL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12,NULL,207,Transient-Party,93,0,0,Check-Out,2016-05-12
Resort Hotel,0,47,2016,June,25,16,0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,129,0,0,Check-Out,2016-06-19
City Hotel,1,142,2016,October,43,21,2,7,3,0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,187,0,0,Canceled,2016-06-06
City Hotel,1,215,2017,June,26,28,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,110,0,0,Canceled,2016-11-25
City Hotel,1,54,2016,March,10,1,0,4,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11,NULL,0,Transient,47.43,0,0,Canceled,2016-01-07
City Hotel,0,21,2017,August,35,30,2,5,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,394,NULL,0,Transient,96.14,0,2,Check-Out,2017-09-06
City Hotel,0,16,2017,May,18,3,0,2,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,140,0,1,Check-Out,2017-05-05
Resort Hotel,0,90,2015,July,29,16,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,243,NULL,0,Contract,93.6,0,1,Check-Out,2015-07-23
City Hotel,0,0,2015,December,53,28,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,106,0,0,Check-Out,2015-12-29
Resort Hotel,0,83,2016,July,31,25,3,5,3,0,0,BB,ITA,Groups,Corporate,0,0,0,A,C,3,No Deposit,307,NULL,0,Transient-Party,179,0,0,Check-Out,2016-08-02
City Hotel,0,156,2016,August,33,7,2,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,81.25,1,0,Check-Out,2016-08-11
City Hotel,0,86,2016,April,18,26,0,1,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,85.5,0,1,Check-Out,2016-04-27
Resort Hotel,0,6,2017,February,6,6,1,2,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,467,NULL,0,Transient,46.08,0,0,Check-Out,2017-02-09
Resort Hotel,1,14,2016,August,34,18,2,5,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,15,NULL,0,Transient,208.48,0,0,Canceled,2016-08-04
City Hotel,0,44,2016,April,17,23,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,B,B,0,No Deposit,24,NULL,0,Transient-Party,95,0,0,Check-Out,2016-04-26
City Hotel,0,12,2016,July,30,19,0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,87.78,0,2,Check-Out,2016-07-21
City Hotel,0,75,2016,August,33,12,2,3,3,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,168.3,0,2,Check-Out,2016-08-17
City Hotel,0,164,2015,October,40,2,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,19,NULL,0,Transient-Party,100,0,1,Check-Out,2015-10-03
Resort Hotel,1,10,2017,April,14,6,0,3,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,162,0,0,Canceled,2017-03-28
City Hotel,1,53,2015,August,35,24,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Canceled,2015-08-19
Resort Hotel,0,188,2016,February,8,15,1,5,2,1,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,NULL,0,Transient,59.6,0,3,Check-Out,2016-02-21
City Hotel,0,71,2017,May,20,20,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,162,0,0,Check-Out,2017-05-22
Resort Hotel,0,167,2016,September,37,10,2,5,2,0,0,BB,NULL,Online TA,TA/TO,0,0,1,A,C,0,No Deposit,240,NULL,0,Transient,148.14,1,1,Check-Out,2016-09-17
City Hotel,1,34,2015,December,50,8,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19,NULL,0,Transient,90,0,0,Canceled,2015-11-17
Resort Hotel,0,4,2017,February,5,1,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,55,1,1,Check-Out,2017-02-04
City Hotel,1,302,2016,October,41,6,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3,NULL,0,Transient,105,0,0,Canceled,2015-12-29
Resort Hotel,0,46,2015,December,52,20,2,0,2,1,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,6,NULL,0,Transient-Party,32.5,0,1,Check-Out,2015-12-22
City Hotel,1,7,2016,March,13,22,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,101,0,0,Canceled,2016-03-15
City Hotel,1,52,2017,March,11,13,1,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,56,NULL,0,Transient,80,0,0,Canceled,2017-01-20
City Hotel,1,107,2017,June,25,18,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,89.1,0,1,Canceled,2017-03-14
Resort Hotel,0,7,2017,May,19,13,0,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,120,0,1,Check-Out,2017-05-14
City Hotel,0,99,2016,February,8,19,0,1,1,0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,NULL,67,0,Transient-Party,81,0,0,Check-Out,2016-02-20
Resort Hotel,0,6,2017,April,14,4,0,1,1,0,0,BB,NULL,Corporate,Corporate,0,0,11,A,A,0,No Deposit,NULL,9,0,Transient,48,0,0,Check-Out,2017-04-05
Resort Hotel,0,7,2017,February,6,10,0,2,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,1,No Deposit,250,NULL,0,Transient,66,0,2,Check-Out,2017-02-12
City Hotel,1,95,2016,November,45,5,0,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient-Party,75,0,0,Canceled,2016-10-21
City Hotel,1,6,2017,March,10,5,2,0,1,0,0,SC,DEU,Online TA,GDS,0,0,0,A,A,0,No Deposit,195,NULL,0,Transient,78,0,0,Canceled,2017-03-02
Resort Hotel,0,0,2015,September,37,11,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,241,NULL,0,Transient,106.06,0,0,Check-Out,2015-09-14
Resort Hotel,0,151,2017,April,14,4,0,5,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,F,3,No Deposit,NULL,223,0,Transient-Party,48,0,2,Check-Out,2017-04-09
City Hotel,0,65,2017,March,10,8,2,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,67.15,0,1,Check-Out,2017-03-14
City Hotel,0,11,2015,September,39,22,0,2,2,0,0,BB,DNK,Groups,TA/TO,0,0,0,A,D,0,No Deposit,74,NULL,0,Transient-Party,98,0,0,Check-Out,2015-09-24
Resort Hotel,0,2,2016,June,24,8,0,2,1,0,0,BB,GBR,Complementary,TA/TO,1,0,1,A,C,0,No Deposit,40,NULL,0,Transient,0,0,1,Check-Out,2016-06-10
Resort Hotel,0,46,2016,March,12,19,2,1,2,2,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,196,NULL,0,Transient,46,0,0,Check-Out,2016-03-22
City Hotel,0,9,2015,December,49,5,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,65.91,0,0,Check-Out,2015-12-08
Resort Hotel,0,6,2017,March,9,1,1,4,2,0,0,BB,NLD,Groups,Corporate,0,0,0,D,D,1,No Deposit,NULL,223,0,Transient-Party,47,0,0,Check-Out,2017-03-06
City Hotel,0,20,2017,January,3,18,2,5,2,0,0,HB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,130.42,0,1,Check-Out,2017-01-25
City Hotel,1,59,2016,June,23,4,1,1,2,0,0,HB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,153.09,0,1,No-Show,2016-06-04
City Hotel,0,0,2016,March,13,20,0,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,K,0,No Deposit,22,NULL,0,Transient,0,0,0,Check-Out,2016-03-20
Resort Hotel,0,0,2016,February,7,11,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,NULL,NULL,0,Transient-Party,50,0,0,Check-Out,2016-02-12
Resort Hotel,0,5,2016,January,2,5,0,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,39,0,2,Check-Out,2016-01-07
Resort Hotel,0,0,2017,January,4,27,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,76,0,0,Check-Out,2017-01-28
Resort Hotel,0,9,2016,February,8,17,2,5,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,26.1,0,0,Check-Out,2016-02-24
City Hotel,0,6,2017,February,8,20,1,4,1,1,0,SC,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,85,NULL,0,Transient,66.64,0,1,Check-Out,2017-02-25
Resort Hotel,0,170,2016,July,27,2,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,242,NULL,0,Transient,119.1,1,2,Check-Out,2016-07-03
Resort Hotel,0,23,2017,January,1,5,2,5,1,0,0,Undefined,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,464,NULL,0,Transient,47,0,0,Check-Out,2017-01-12
City Hotel,0,2,2016,January,1,2,2,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,88,0,0,Check-Out,2016-01-07
Resort Hotel,0,169,2016,March,14,31,0,3,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,D,1,Refundable,NULL,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
City Hotel,1,75,2016,August,33,13,2,1,3,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,168.3,0,0,Canceled,2016-05-30
Resort Hotel,0,255,2016,September,38,17,8,20,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,242,NULL,0,Transient,68.15,0,2,Check-Out,2016-10-15
City Hotel,0,259,2017,August,31,4,1,2,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.1,0,1,Check-Out,2017-08-07
City Hotel,0,137,2017,March,10,6,1,1,2,0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,1,No Deposit,37,NULL,0,Transient-Party,80,0,1,Check-Out,2017-03-08
City Hotel,1,4,2015,September,38,16,0,4,2,2,0,BB,PRT,Online TA,TA/TO,0,1,0,F,F,0,No Deposit,9,NULL,0,Transient,224.5,0,2,Canceled,2015-09-14
Resort Hotel,0,229,2016,May,19,1,2,4,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,314,NULL,0,Transient,70.4,0,1,Check-Out,2016-05-07
City Hotel,0,156,2016,August,34,14,2,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,106.25,0,1,Check-Out,2016-08-19
City Hotel,0,192,2016,June,26,24,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,34,NULL,0,Transient-Party,95,0,0,Check-Out,2016-06-26
Resort Hotel,1,159,2017,April,15,13,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,60,0,2,Canceled,2016-12-18
City Hotel,1,46,2017,January,1,1,2,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient-Party,65,0,0,Canceled,2016-11-18
City Hotel,1,28,2017,March,9,2,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,95,0,0,Canceled,2017-02-02
Resort Hotel,1,175,2017,June,22,2,4,10,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,140,0,2,Canceled,2017-01-24
City Hotel,0,43,2016,October,43,19,0,2,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,22,NULL,0,Transient,85.5,0,0,Check-Out,2016-10-21
City Hotel,0,1,2017,February,6,10,0,2,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,88,0,0,Check-Out,2017-02-12
City Hotel,0,7,2016,October,41,3,1,2,1,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,103.18,0,3,Check-Out,2016-10-06
City Hotel,0,39,2016,March,12,14,1,2,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,81.9,0,0,Check-Out,2016-03-17
City Hotel,0,0,2016,June,27,26,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,NULL,0,Transient,105.3,0,0,Check-Out,2016-06-27
Resort Hotel,0,154,2016,May,21,17,2,7,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,52.2,0,1,Check-Out,2016-05-26
Resort Hotel,0,222,2017,May,20,16,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,143,NULL,0,Transient,42.95,0,1,Check-Out,2017-05-23
Resort Hotel,0,7,2015,October,43,24,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,58,0,2,Check-Out,2015-10-25
City Hotel,1,181,2017,May,21,25,0,2,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,130,0,0,Canceled,2016-11-25
City Hotel,1,328,2015,September,37,10,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Contract,62,0,0,Canceled,2015-01-01
City Hotel,0,3,2015,September,38,19,1,1,2,0,0,BB,USA,Corporate,Corporate,0,0,0,A,D,0,No Deposit,81,NULL,0,Transient,120,0,0,Check-Out,2015-09-21
Resort Hotel,0,77,2015,October,41,9,0,2,2,0,1,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Contract,56,1,2,Check-Out,2015-10-11
City Hotel,1,278,2015,July,30,22,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient-Party,62,0,0,Canceled,2015-06-29
City Hotel,0,1,2015,August,35,26,0,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,34,NULL,0,Transient,0,0,2,Check-Out,2015-08-27
Resort Hotel,0,3,2016,May,19,6,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,NULL,0,Transient,79,1,1,Check-Out,2016-05-07
City Hotel,1,300,2015,August,33,13,0,2,2,0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62.8,0,0,Canceled,2014-10-17
City Hotel,1,194,2017,August,34,20,2,3,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,162,0,0,Canceled,2017-02-07
Resort Hotel,0,1,2016,June,26,21,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,3,A,A,0,No Deposit,9,NULL,0,Transient,65,0,0,Check-Out,2016-06-22
City Hotel,0,320,2016,August,34,18,0,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,115,0,1,Check-Out,2016-08-20
City Hotel,1,15,2017,February,7,17,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19,NULL,0,Transient,95,0,0,Canceled,2017-02-02
City Hotel,1,521,2017,August,35,29,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229,NULL,0,Transient,90,0,0,Canceled,2017-08-10
City Hotel,0,213,2016,December,53,27,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,78.3,0,0,Check-Out,2016-12-30
Resort Hotel,1,168,2016,May,22,28,4,10,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,79.84,0,1,Canceled,2015-12-31
City Hotel,0,84,2017,April,15,15,2,1,3,0,0,HB,RUS,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,204,0,1,Check-Out,2017-04-18
City Hotel,0,204,2016,October,41,7,0,2,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,180.9,0,1,Check-Out,2016-10-09
City Hotel,0,0,2016,July,30,19,0,1,1,0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,0,0,0,Check-Out,2016-07-20
Resort Hotel,0,81,2016,March,11,9,0,3,1,0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,1,No Deposit,115,NULL,0,Transient-Party,49,0,0,Check-Out,2016-03-12
Resort Hotel,0,1,2016,November,47,18,0,2,2,0,0,BB,MWI,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,NULL,0,Transient,86,1,1,Check-Out,2016-11-20
Resort Hotel,0,63,2017,February,6,5,4,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,33.88,0,1,Check-Out,2017-02-14
City Hotel,1,283,2015,July,31,27,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Contract,62,0,0,Canceled,2015-01-01
City Hotel,0,0,2016,January,2,4,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,NULL,0,Transient,41,0,0,Check-Out,2016-01-08
City Hotel,0,13,2016,January,4,21,0,3,0,2,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient-Party,77.25,0,0,Check-Out,2016-01-24
Resort Hotel,0,166,2017,July,29,16,4,6,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,162,0,2,Check-Out,2017-07-26
City Hotel,1,44,2017,April,16,20,1,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,85,0,0,Canceled,2017-04-07
City Hotel,0,10,2016,October,41,2,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,NULL,0,Transient,85,0,0,Check-Out,2016-10-05
Resort Hotel,0,1,2016,April,18,29,0,2,2,0,0,BB,PRT,Corporate,Corporate,1,0,1,D,D,0,No Deposit,NULL,402,0,Transient,72.5,0,0,Check-Out,2016-05-01
Resort Hotel,0,157,2016,June,26,19,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,8,NULL,0,Transient,70.4,0,0,Check-Out,2016-06-26
City Hotel,0,7,2015,September,37,7,1,2,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Contract,111.33,0,0,Check-Out,2015-09-10
City Hotel,1,96,2017,May,18,5,0,2,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,171,0,0,Canceled,2017-04-18
City Hotel,0,5,2015,December,51,17,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,85,NULL,0,Transient,69,0,0,Check-Out,2015-12-19
City Hotel,0,1,2016,December,53,27,0,3,2,0,0,SC,PRT,Direct,Direct,0,0,0,A,B,0,No Deposit,NULL,NULL,0,Transient,97,0,0,Check-Out,2016-12-30
City Hotel,0,98,2016,July,28,9,2,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,103.5,0,1,Check-Out,2016-07-12
City Hotel,1,433,2016,September,37,8,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3,NULL,0,Transient,70,0,0,Canceled,2015-10-20
City Hotel,0,34,2017,June,23,10,2,5,2,0,0,HB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,151.14,0,1,Check-Out,2017-06-17
City Hotel,0,156,2016,July,29,11,2,5,2,1,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,86,NULL,0,Transient,94.91,0,1,Check-Out,2016-07-18
City Hotel,0,22,2016,April,15,7,0,1,1,0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,89,0,0,Check-Out,2016-04-08
City Hotel,1,157,2017,May,18,1,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3,NULL,0,Transient,130,0,0,Canceled,2016-11-25
Resort Hotel,1,247,2016,December,53,25,2,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,46.8,0,2,Canceled,2016-12-14
